CustomerID,Feedback
CUST-90011,The fraud department was exactly what I needed.
CUST-90024,The mobile banking app was incredibly frustrating.
CUST-90031,The customer service call was a standard process.
CUST-90040,My recent experience with the fraud department went very smoothly.
CUST-90055,"Regarding the customer service call, it took way too long to process."
CUST-90060,"Regarding the wire transfer, it was fine, I guess."
CUST-90064,I felt that the auto loan resulted in hidden fees I was not told about.
CUST-90067,The wire transfer took the average amount of time.
CUST-90068,My recent experience with the credit card activation was very confusing.
CUST-90071,The mobile banking app took way too long to process.
CUST-90077,I felt that the mortgage application was exactly what I needed.
CUST-90089,"Regarding the credit card activation, it took way too long to process."
CUST-90097,"The credit card activation was fine, I guess."
CUST-90102,My recent experience with the wire transfer resulted in hidden fees I was not told about.
CUST-90108,My recent experience with the mortgage application was super easy to navigate.
CUST-90137,My recent experience with the wire transfer was incredibly frustrating.
CUST-90140,The mortgage application was super easy to navigate.
CUST-90175,My recent experience with the wire transfer was handled by a rude representative.
CUST-90199,"Regarding the credit card activation, it exceeded my expectations."
CUST-90210,My recent experience with the customer service call was handled by a very helpful agent.
CUST-90211,"Regarding the credit card activation, it made me want to switch banks."
CUST-90219,I felt that the checking account setup went as expected.
CUST-90222,"Regarding the fraud department, it was handled by a rude representative."
CUST-90236,"Regarding the wire transfer, it was okay."
CUST-90262,The mortgage application made me want to switch banks.
CUST-90276,"Regarding the mobile banking app, it went as expected."
CUST-90278,"Regarding the credit card activation, it took the average amount of time."
CUST-90281,The mortgage application exceeded my expectations.
CUST-90290,"Regarding the mobile banking app, it was very confusing."
CUST-90293,"Regarding the checking account setup, it went very smoothly."
CUST-90297,The auto loan was handled by a rude representative.
CUST-90300,The wire transfer took way too long to process.
CUST-90308,The mobile banking app was super easy to navigate.
CUST-90313,"Regarding the mobile banking app, it was handled by a very helpful agent."
CUST-90319,My recent experience with the customer service call took way too long to process.
CUST-90320,The credit card activation was a standard process.
CUST-90328,I felt that the mortgage application took way too long to process.
CUST-90329,"Regarding the checking account setup, it went as expected."
CUST-90347,My recent experience with the wire transfer took way too long to process.
CUST-90371,"Regarding the mobile banking app, it was incredibly frustrating."
CUST-90372,I felt that the mobile banking app saved me a lot of time.
CUST-90383,"Regarding the mobile banking app, it resulted in hidden fees I was not told about."
CUST-90412,The mobile banking app was very confusing.
CUST-90437,My recent experience with the customer service call was incredibly frustrating.
CUST-90440,"The mobile banking app was fine, I guess."
CUST-90452,I felt that the wire transfer was a standard process.
CUST-90494,"Regarding the mobile banking app, it exceeded my expectations."
CUST-90500,My recent experience with the mortgage application was very quick.
CUST-90514,I felt that the mortgage application was very quick.
CUST-90522,"Regarding the credit card activation, it was exactly what I needed."
CUST-90523,I felt that the customer service call was incredibly frustrating.
CUST-90528,The fraud department took way too long to process.
CUST-90543,"Regarding the mobile banking app, it made me want to switch banks."
CUST-90544,My recent experience with the wire transfer went as expected.
CUST-90549,My recent experience with the mobile banking app was okay.
CUST-90550,The wire transfer was super easy to navigate.
CUST-90571,I felt that the checking account setup went very smoothly.
CUST-90579,"Regarding the auto loan, it crashed twice while I was using it."
CUST-90585,The customer service call was super easy to navigate.
CUST-90590,"I felt that the checking account setup was fine, I guess."
CUST-90591,My recent experience with the checking account setup exceeded my expectations.
CUST-90602,"Regarding the mortgage application, it saved me a lot of time."
CUST-90605,I felt that the fraud department was a standard process.
CUST-90618,"Regarding the auto loan, it was exactly what I needed."
CUST-90622,My recent experience with the mobile banking app was handled by a rude representative.
CUST-90627,I felt that the auto loan was very quick.
CUST-90637,My recent experience with the checking account setup made me want to switch banks.
CUST-90653,I felt that the credit card activation resulted in hidden fees I was not told about.
CUST-90661,The fraud department went as expected.
CUST-90663,The checking account setup was okay.
CUST-90679,The mortgage application was incredibly frustrating.
CUST-90680,The checking account setup was nothing special.
CUST-90688,I felt that the mortgage application was very confusing.
CUST-90693,I felt that the mobile banking app exceeded my expectations.
CUST-90715,"Regarding the mobile banking app, it crashed twice while I was using it."
CUST-90738,My recent experience with the credit card activation took way too long to process.
CUST-90741,The fraud department was incredibly frustrating.
CUST-90742,I felt that the customer service call resulted in hidden fees I was not told about.
CUST-90754,"Regarding the credit card activation, it was okay."
CUST-90762,My recent experience with the mortgage application was super easy to navigate.
CUST-90765,The fraud department went as expected.
CUST-90788,The auto loan crashed twice while I was using it.
CUST-90812,"Regarding the customer service call, it was handled by a rude representative."
CUST-90821,"Regarding the mobile banking app, it went very smoothly."
CUST-90827,The mortgage application was handled by a very helpful agent.
CUST-90838,My recent experience with the credit card activation made me want to switch banks.
CUST-90860,"Regarding the credit card activation, it resulted in hidden fees I was not told about."
CUST-90867,My recent experience with the customer service call crashed twice while I was using it.
CUST-90880,"Regarding the credit card activation, it made me want to switch banks."
CUST-90884,My recent experience with the checking account setup was a standard process.
CUST-90900,The fraud department was nothing special.
CUST-90902,"Regarding the credit card activation, it crashed twice while I was using it."
CUST-90903,The credit card activation was very quick.
CUST-90925,My recent experience with the auto loan was incredibly frustrating.
CUST-90939,My recent experience with the auto loan went very smoothly.
CUST-90948,My recent experience with the fraud department made me want to switch banks.
CUST-90974,My recent experience with the wire transfer was okay.
CUST-90975,The fraud department was very confusing.
CUST-90987,"Regarding the wire transfer, it went very smoothly."
CUST-90999,"Regarding the mobile banking app, it went as expected."
